^DFound 456 mutants to test
ok       Unmutated baseline in 1s build + 1s test
 INFO Auto-set test timeout to 20s
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1019:43: replace + with - in dequant_level in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1019:43: replace + with * in dequant_level in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1035:9: delete match arm 2 in write_level in 7s build + 16s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1045:9: delete match arm 8 in write_level in 8s build + 16s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1036:26: replace / with % in write_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1036:26: replace / with * in write_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1037:33: replace * with + in write_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1037:33: replace * with / in write_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1037:28: replace % with / in write_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1037:28: replace % with + in write_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1038:23: replace |= with &= in write_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1038:49: replace << with >> in write_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1038:41: replace & with | in write_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1038:41: replace & with ^ in write_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1056:9: delete match arm 2 in read_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1058:9: delete match arm 8 in read_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1056:46: replace & with | in read_level in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1056:46: replace & with ^ in read_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1056:28: replace >> with << in read_level in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1056:23: replace / with % in read_level in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1056:23: replace / with * in read_level in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1056:40: replace * with + in read_level in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1056:40: replace * with / in read_level in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1056:35: replace % with / in read_level in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1056:35: replace % with + in read_level in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1057:40: replace * with / in read_level in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1135:9: replace || with && in estimate_ip_impl in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1134:9: replace || with && in estimate_ip_impl in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1133:9: replace || with && in estimate_ip_impl in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1132:30: replace < with == in estimate_ip_impl in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1132:30: replace < with <= in estimate_ip_impl in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1155:50: replace / with % in estimate_ip_impl in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1155:50: replace / with * in estimate_ip_impl in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1155:71: replace * with + in estimate_ip_impl in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1155:71: replace * with / in estimate_ip_impl in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1162:5: replace sign_words_from_byte_slice -> Vec<u64> with vec![] in 2s build + 5s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1162:5: replace sign_words_from_byte_slice -> Vec<u64> with vec![0] in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1162:5: replace sign_words_from_byte_slice -> Vec<u64> with vec![1] in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1164:32: replace / with % in sign_words_from_byte_slice in 1s build + 5s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1164:32: replace / with * in sign_words_from_byte_slice in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1165:38: replace == with != in sign_words_from_byte_slice in 2s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1165:34: replace & with | in sign_words_from_byte_slice in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1165:34: replace & with ^ in sign_words_from_byte_slice in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1165:18: replace >> with << in sign_words_from_byte_slice in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1165:28: replace % with / in sign_words_from_byte_slice in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1165:28: replace % with + in sign_words_from_byte_slice in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1166:31: replace |= with &= in sign_words_from_byte_slice in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1166:25: replace / with % in sign_words_from_byte_slice in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1166:25: replace / with * in sign_words_from_byte_slice in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1166:40: replace << with >> in sign_words_from_byte_slice in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1166:50: replace % with / in sign_words_from_byte_slice in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1166:50: replace % with + in sign_words_from_byte_slice in 1s build + 4s test
456 mutants tested in 38m: 118 missed, 317 caught, 21 unviable
