# Suite Report: task111h-1m-rerank-format-width-shared

- config: `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/task111h-1m-rerank-format-width-shared-suite.json`
- config_sha256: `8b7de524e34d23fcc4fc80b5ac0267640816b885f0f4f09f9591077b3bbbaf9e`
- dry_run: `false`
- steps: completed 124, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| latency-1m-index-f16-w256 | latency | Succeeded | 34151 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-index-f16-w256.log` |
| storage-1m-index-f16-w256 | storage | Succeeded | 45 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-index-f16-w256.log` |
| drop-1m-index-f16-w256-after | raw | Succeeded | 224 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-f16-w256-after.log` |
| drop-1m-index-rabitq4-w32-before | raw | Succeeded | 11 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-rabitq4-w32-before.log` |
| load-1m-index-rabitq4-w32 | load | Succeeded | 291585 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-index-rabitq4-w32.log` |
| recall-1m-index-rabitq4-w32 | recall | Succeeded | 17920 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-index-rabitq4-w32.log` |
| latency-1m-index-rabitq4-w32 | latency | Succeeded | 23747 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-index-rabitq4-w32.log` |
| storage-1m-index-rabitq4-w32 | storage | Succeeded | 50 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-index-rabitq4-w32.log` |
| drop-1m-index-rabitq4-w32-after | raw | Succeeded | 122 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-rabitq4-w32-after.log` |
| drop-1m-index-rabitq4-w64-before | raw | Succeeded | 12 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-rabitq4-w64-before.log` |
| load-1m-index-rabitq4-w64 | load | Succeeded | 292206 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-index-rabitq4-w64.log` |
| recall-1m-index-rabitq4-w64 | recall | Succeeded | 17584 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-index-rabitq4-w64.log` |
| latency-1m-index-rabitq4-w64 | latency | Succeeded | 23271 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-index-rabitq4-w64.log` |
| storage-1m-index-rabitq4-w64 | storage | Succeeded | 60 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-index-rabitq4-w64.log` |
| drop-1m-index-rabitq4-w64-after | raw | Succeeded | 102 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-rabitq4-w64-after.log` |
| drop-1m-index-rabitq4-w128-before | raw | Succeeded | 13 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-rabitq4-w128-before.log` |
| load-1m-index-rabitq4-w128 | load | Succeeded | 294172 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-index-rabitq4-w128.log` |
| recall-1m-index-rabitq4-w128 | recall | Succeeded | 18365 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-index-rabitq4-w128.log` |
| latency-1m-index-rabitq4-w128 | latency | Succeeded | 23851 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-index-rabitq4-w128.log` |
| storage-1m-index-rabitq4-w128 | storage | Succeeded | 49 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-index-rabitq4-w128.log` |
