320	990319	5	319080	319081	target_block_ranked	1308	1152	0.45929503	0.46299332	-0.0036982894	2	0.87393725	83	1072	1072	1088	16	1
334	990333	9	683555	683556	target_block_ranked	1205	1152	0.4707653	0.4722689	-0.0015036166	3	0.9740833	60	9809	9808	9824	16	1
339	990338	2	892078	892079	target_block_ranked	3501	1152	0.44816735	0.48342624	-0.03525889	8	0.8657501	49	34	32	48	16	1
339	990338	3	600272	600273	target_block_ranked	1985	1152	0.4672333	0.48342624	-0.016192943	11	0.8458097	34	5295	5280	5296	16	1
339	990338	6	921422	921423	target_block_ranked	2070	1152	0.4657936	0.48342624	-0.017632633	32	0.71842396	83	13027	13024	13040	16	1
339	990338	8	158531	158532	target_block_ranked	1410	1152	0.47782403	0.48342624	-0.0056022108	5	0.87929595	32	242	240	256	16	1
345	990344	9	535350	535351	target_block_ranked	5848	1152	0.38482147	0.4455451	-0.060723633	34	0.6040467	69	2140	2128	2144	16	1
346	990345	2	640576	640577	target_block_ranked	1905	1152	0.47461635	0.49193117	-0.017314821	4	1.0354729	105	6249	6240	6256	16	1
348	990347	4	640576	640577	target_block_ranked	2014	1152	0.4675216	0.4870596	-0.019537985	5	1.0211656	105	6249	6240	6256	16	1
351	990350	2	175536	175537	target_block_ranked	1365	1152	0.41770095	0.42335406	-0.005653113	2	0.7282672	85	7606	7600	7616	16	1
352	990351	5	633469	633470	target_block_ranked	2131	1152	0.39945757	0.4183343	-0.018876731	69	0.35074922	55	1738	1728	1744	16	1
372	990371	5	154702	154703	target_block_ranked	1228	1152	0.4235571	0.4253627	-0.0018056035	9	0.68845785	46	4304	4304	4320	16	1
374	990373	2	537169	537170	target_block_ranked	2768	1152	0.40165246	0.43701273	-0.035360277	26	0.5505057	69	7602	7600	7616	16	1
374	990373	10	382763	382764	target_block_ranked	1723	1152	0.42117345	0.43701273	-0.015839279	42	0.49502283	7	13925	13920	13936	16	1
375	990374	1	355415	355416	target_block_ranked	1354	1152	0.42345786	0.428573	-0.0051151514	5	0.6680942	52	111	96	112	16	1
375	990374	8	892080	892081	target_block_ranked	11559	1152	0.35449237	0.428573	-0.074080646	50	0.47387442	39	1684	1680	1696	16	1
375	990374	9	175536	175537	target_block_ranked	1617	1152	0.41831687	0.428573	-0.010256141	15	0.6062134	85	7606	7600	7616	16	1
381	990380	9	653037	653038	target_block_ranked	4693	1152	0.38038176	0.42791066	-0.047528893	51	0.37788808	55	2754	2752	2768	16	1
382	990381	8	767425	767426	target_block_ranked	2645	1152	0.4099959	0.4387458	-0.028749883	5	0.7558314	76	3498	3488	3504	16	1
425	990424	2	763647	763648	target_block_ranked	6292	1152	0.37238288	0.4292519	-0.05686903	23	0.51970494	109	1212	1200	1216	16	1
426	990425	4	763647	763648	target_block_ranked	1853	1152	0.39668834	0.41323465	-0.016546309	36	0.42067719	109	1212	1200	1216	16	1
448	990447	6	448078	448079	target_block_ranked	2461	1152	0.44959688	0.47170112	-0.022104234	2	0.89552295	7	11225	11216	11232	16	1
448	990447	9	169813	169814	target_block_ranked	1921	1152	0.4576024	0.47170112	-0.014098704	2	0.89552295	7	12739	12736	12752	16	1
460	990459	4	175072	175073	target_block_ranked	1415	1152	0.4023655	0.40783203	-0.005466521	32	0.4560097	9	4650	4640	4656	16	1
463	990462	4	926567	926568	target_block_ranked	4336	1152	0.39520556	0.44331995	-0.04811439	37	0.52572685	89	9478	9472	9488	16	1
464	990463	7	646941	646942	target_block_ranked	7213	1152	0.3470419	0.39641982	-0.04937792	34	0.48867518	55	4484	4480	4496	16	1
474	990473	7	831946	831947	target_block_ranked	1595	1152	0.43302378	0.44301313	-0.009989351	15	0.7004522	106	3922	3920	3936	16	1
474	990473	9	36999	37000	target_block_ranked	1237	1152	0.4406665	0.44301313	-0.0023466349	19	0.6129445	52	7639	7632	7648	16	1
